IID,GEBV
1000145,-12.0992
1000146,-32.101
1000147,-13.6217
1000148,-15.6448
1000149,-16.7294
1000150,-9.44278
1000151,-10.7589
1000152,-20.7664
1000153,-26.7796
1000154,-32.1073
1000155,-16.5313
1000156,-23.5265
1000157,-16.2347
1000158,-21.3533
1000159,-6.5703
1000160,-17.0753
1000161,-20.1766
1000162,-4.6771
1000163,-15.6932
1000164,-26.2782
1000165,-18.3687
1000166,-18.0021
1000167,-17.8852
1000168,-9.20418
1000169,-14.1882
1000170,-18.1243
1000171,-7.20914
1000172,-16.1797
1000173,-5.21491
1000174,-19.0105
1000175,-15.0707
1000176,-13.4818
1000177,-21.2635
1000178,-19.9215
1000179,-19.2144
1000180,-15.5734
1000181,-23.3395
1000182,-12.3441
1000183,-8.31187
1000184,-26.2193
1000185,-22.8628
1000186,-16.7191
1000187,-15.7357
1000188,-19.6646
1000189,-14.7432
1000190,-8.98845
1000191,-15.9203
1000192,-22.1945
1000193,-2.34298
1000194,-12.2449
1000195,-16.0967
1000196,-17.7224
1000197,-15.4399
1000198,-13.9475
1000199,-18.1272
1000200,-18.337
1000201,-19.2357
1000202,-28.7648
1000203,-11.3201
1000204,-18.3449
1000205,-20.8852
1000206,-17.4603
1000207,-8.87945
1000208,-18.562
1000209,-23.5645
1000210,-26.8052
1000211,-23.4051
1000212,-21.0078
1000213,-23.9538
1000214,-15.6733
1000215,-9.38213
1000216,-2.57665
1000217,-21.2901
1000218,-19.2879
1000219,-26.6467
1000220,-20.3312
1000221,-17.7969
1000222,-20.1814
1000223,-16.2299
1000224,-7.17365
1000225,-13.8403
1000226,-18.9786
1000227,-10.5711
1000228,-11.8059
1000229,-28.5733
1000230,-21.7772
1000231,-19.5279
1000232,-21.4691
1000233,-15.8066
1000234,-17.9064
1000235,-15.5429
1000236,-24.3347
1000237,-15.0365
1000238,-9.64487
1000239,-19.4761
1000240,-16.481
1000241,-18.7173
1000242,-21.7278
1000243,-26.2475
1000244,-30.5021
1000245,-17.1067
1000246,-5.1104
1000247,-13.5662
1000248,-22.7486
1000249,-16.4985
1000250,-22.282
1000251,-14.0496
1000252,-12.9126
1000253,-22.7431
1000254,-18.8451
1000255,-17.9368
1000256,-19.6801
1000257,-26.7126
1000258,-14.167
1000259,-21.0611
1000260,-22.6954
1000261,-21.5347
1000262,-17.5386
1000263,-3.92401
1000264,-12.5254
1000265,-12.6175
1000266,-13.0347
1000267,-28.5098
1000268,-7.21025
1000269,-15.1998
1000270,-15.5861
1000271,-16.1477
1000272,-10.588
1000273,-22.7388
1000274,-21.6843
1000275,-11.0582
1000276,-24.6249
1000277,-17.4408
1000278,-13.742
1000279,-21.1168
1000280,-21.2377
1000281,-23.6442
1000282,-21.7388
1000283,-17.8397
1000284,-19.8728
1000285,-6.95055
1000286,-19.5098
1000287,-16.1881
1000288,-16.6602
1000289,-10.3787
1000290,-15.3283
1000291,-16.4038
1000292,-14.4746
1000293,-14.3305
1000294,-14.3521
1000295,-20.4263
1000296,-16.8824
1000297,-24.7618
1000298,-22.6797
1000299,-16.0139
1000300,-7.2249
1000301,-16.6699
1000302,-14.3183
1000303,-17.852
1000304,-20.9429
1000305,-24.7069
1000306,-6.50725
1000307,-25.8028
1000308,-24.8917
1000309,-20.5095
1000310,-25.7006
1000311,-13.6118
1000312,-11.6598
1000313,-13.3582
1000314,-26.5422
1000315,-16.8781
1000316,-14.3879
1000317,-18.7915
1000318,-11.5259
1000319,-23.7879
1000320,-13.3243
1000321,-14.8014
1000322,-14.352
1000323,-23.0429
1000324,-16.7361
1000325,-11.8468
1000326,-9.92462
1000327,-20.8982
1000328,-24.1601
1000329,-22.5636
1000330,-19.9697
1000331,-10.916
1000332,-24.4539
1000333,-15.9658
1000334,-31.9636
1000335,-11.8575
1000336,-14.9736
1000337,-14.658
1000338,-10.4469
1000339,-17.104
1000340,-13.1689
1000341,-8.34069
1000342,-6.90308
1000343,-4.65874
1000344,-14.1614
1000345,-21.7476
1000346,-22.645
1000347,-16.0436
1000348,-30.9898
1000349,-13.9169
1000350,-26.3528
1000351,-13.3223
1000352,-17.0503
1000353,-19.1934
1000354,-22.0092
1000355,-15.1123
1000356,-13.6839
1000357,-6.58213
1000358,-17.5307
1000359,-25.7098
1000360,-17.0823
1000361,-14.57
1000362,-15.0138
