IID Py intercept R
1000318 0.753658 1 1
1000319 -0.390366 1 1
1000320 0.753024 1 1
1000321 1.74193 1 1
1000322 -2.20559 1 1
1000323 1.39359 1 1
1000324 5.56559 1 1
1000325 2.41429 1 1
1000326 3.29438 1 1
1000327 -1.82671 1 1
1000328 1.13815 1 1
1000329 4.5504 1 1
1000330 3.99257 1 1
1000331 -4.01332 1 1
1000332 -3.87099 1 1
1000333 -0.221766 1 1
1000334 -6.61531 1 1
1000335 -3.44852 1 1
1000336 -6.72846 1 1
1000337 -1.96744 1 1
1000338 -0.195478 1 1
1000339 -3.03242 1 1
1000340 5.78201 1 1
1000341 0.827191 1 1
1000342 3.45096 1 1
1000343 4.53282 1 1
1000344 0.825923 1 1
1000345 2.70077 1 1
1000346 -2.28391 1 1
1000347 0.358716 1 1
1000348 -13.8575 1 1
1000349 1.83949 1 1
1000350 -5.64826 1 1
1000351 1.46977 1 1
1000352 -1.44681 1 1
1000353 3.87218 1 1
1000354 8.81665 1 1
1000355 1.73609 1 1
1000356 3.92015 1 1
1000357 5.62784 1 1
1000358 -2.17794 1 1
1000359 -5.84472 1 1
1000360 -0.213694 1 1
1000361 2.93719 1 1
1000362 2.34776 1 1
1000363 5.52356 1 1
1000364 1.07942 1 1
1000365 3.931 1 1
1000366 1.62122 1 1
1000367 4.34173 1 1
1000368 -0.611883 1 1
1000369 -3.64623 1 1
1000370 1.58593 1 1
1000371 4.0576 1 1
1000372 -2.40793 1 1
1000373 2.6662 1 1
1000374 3.55042 1 1
1000375 5.22503 1 1
1000376 0.738148 1 1
1000377 -2.35509 1 1
1000378 3.80275 1 1
1000379 4.10076 1 1
1000380 3.62515 1 1
1000381 0.557295 1 1
1000382 2.9437 1 1
1000383 3.11812 1 1
1000384 1.54164 1 1
1000385 3.49582 1 1
1000386 -0.620766 1 1
1000387 3.20434 1 1
1000388 1.714 1 1
1000389 1.56125 1 1
1000390 -3.10741 1 1
1000391 -4.52029 1 1
1000392 -4.68319 1 1
1000393 2.60637 1 1
1000394 3.21588 1 1
1000395 -1.63483 1 1
1000396 -1.02708 1 1
1000397 3.04815 1 1
1000398 -2.91237 1 1
1000399 -2.35522 1 1
1000400 -5.72961 1 1
1000401 4.65639 1 1
1000402 6.64164 1 1
1000403 3.36852 1 1
1000404 -1.11991 1 1
1000405 -3.05153 1 1
1000406 6.99536 1 1
1000407 -1.33926 1 1
1000408 -2.55839 1 1
1000409 2.53654 1 1
1000410 -0.0914161 1 1
1000411 -0.397829 1 1
